Code,Name,Name2,FieldCount,IsDoor,IsStulp,PostType,OpeningPerField
S431N,"Drzwi suwane na lewo i prawo","Naświetla boczne i górne",99,No,No,Vertical Mullion + Transom + Transom + Transom + Vertical Mullion,F1: FIX | F2: FIX | F3: FIX | F4: FIX | F5: S-L | F6: S-P | F7: FIX
SG1044L_5,"SLIDE GLASS SG1044L_5 (10-SKRZ. - WIODĄCE LEWE + FEST)","5-torowy",99,No,No,Vertical Mullion,F1: SG-LFIX | F2: SG-LW4 | F3: SG-LW3 | F4: SG-LW2 | F5: SG-LWc | F6: SG-PWb | F7: SG-PW2 | F8: SG-PW3 | F9: SG-PW4 | F10: SG-PFIX
SG1044P_5,"SLIDE GLASS SG1044P_5 (10-SKRZ. - WIODĄCE PRAWE + FEST)","5-torowy",99,No,No,Vertical Mullion,F1: SG-LFIX | F2: SG-LW4 | F3: SG-LW3 | F4: SG-LW2 | F5: SG-LWb | F6: SG-PWc | F7: SG-PW3 | F8: SG-PW3 | F9: SG-PW4 | F10: SG-PFIX
SG302_3,"SLIDE GLASS SG302_3 (3-SKRZ. - WIODĄCE PRAWE + FEST)","3-torowy",3,No,No,Vertical Mullion,F1: SG-LFIX | F2: SG-LW2 | F3: SG-LW
SG320_3,"SLIDE GLASS SG320_3 (3-SKRZ. - WIODĄCE LEWE + FEST)","3-torowy",3,No,No,Vertical Mullion,F1: SG-PW | F2: SG-PW2 | F3: SG-PFIX
SG403_4,"SLIDE GLASS SG403_4 (4-skrz. - WIODĄCE PRAWE + FEST)","4-torowy",4,No,No,Vertical Mullion,F1: SG-LFIX | F2: SG-LW3 | F3: SG-LW2 | F4: SG-LW
SG411L_3,"SLIDE GLASS SG411L_3 4-(SKRZ. - WIODĄCE LEWE + FEST)","3-torowy",4,No,No,Vertical Mullion,F1: SG-LFIX | F2: SG-LWc | F3: SG-PWb | F4: SG-PFIX
SG411P_3,"SLIDE GLASS SG411P_3 (4-SKRZ. - WIODĄCE PRAWE + FEST)","3-torowy",4,No,No,Vertical Mullion,F1: SG-LFIX | F2: SG-LWb | F3: SG-PWc | F4: SG-PFIX
SG430_4,"SLIDE GLASS SG430_4 (4-SKRZ. - WIODĄCE LEWE + FEST)","4-torowy",4,No,No,Vertical Mullion,F1: SG-PW | F2: SG-PW2 | F3: SG-PW3 | F4: SG-PFIX
SG504_5,"SLIDE GLASS SG504_5 (5-SKRZ. - WIODĄCE PRAWE + FEST)","5-torowy",99,No,No,Vertical Mullion,F1: SG-LFIX | F2: SG-LW4 | F3: SG-LW3 | F4: SG-LW2 | F5: SG-LW
SG540_5,"SLIDE GLASS SG540_5 (5-SKRZ. - WIODĄCE LEWE + FEST)","5-torowy",99,No,No,Vertical Mullion,F1: SG-PW | F2: SG-PW2 | F3: SG-PW3 | F4: SG-PW4 | F5: SG-PFIX
SG622L_3,"SLIDE GLASS SG622L_3 (6-skrz. - WIODĄCE LEWE + FEST)","3-torowy",99,No,No,Vertical Mullion,F1: SG-LFIX | F2: SG-LW2 | F3: SG-LWc | F4: SG-PWb | F5: SG-PW2 | F6: SG-PFIX
SG622P_3,"SLIDE GLASS SG622P_3 (6-SKRZ. - WIODĄCE PRAWE + FEST)","3-torowy",99,No,No,Vertical Mullion,F1: SG-LFIX | F2: SG-LW2 | F3: SG-LWb | F4: SG-PWc | F5: SG-PW2 | F6: SG-PFIX
SG833L_4,"SLIDE GLASS SG833L_4 (8-SKRZ. - WIODĄCE LEWE + FEST)","4-torowy",99,No,No,Vertical Mullion,F1: SG-LFIX | F2: SG-LW3 | F3: SG-LW2 | F4: SG-LWc | F5: SG-PWb | F6: SG-PW2 | F7: SG-PW3 | F8: SG-PFIX
SG833P_4,"SLIDE GLASS SG833P_4 (8-SKRZ. - WIODĄCE PRAWE + FEST)","4-torowy",99,No,No,Vertical Mullion,F1: SG-LFIX | F2: SG-LW3 | F3: SG-LW2 | F4: SG-LWb | F5: SG-PWc | F6: SG-PW2 | F7: SG-PW3 | F8: SG-PFIX
SL200,"Iglo Slide schemat D (2 kw.) skrzydlo lewe zewn, prawe wewn","",2,No,No,Vertical Mullion,F1: SL-LZ | F2: SL-PW
SL201,"Iglo Slide schemat D (2 kw.) skrzydlo lewe wewn, prawe zewn","",2,No,No,Vertical Mullion,F1: SL-LW | F2: SL-PZ
SL202,"Iglo Slide schemat A (2 kw.) otw. na prawo","",2,No,No,Vertical Mullion,F1: SL-LW | F2: SL-FIX
SL203,"Iglo Slide schemat A (2 kw.) otw. na lewo","",2,No,No,Vertical Mullion,F1: SL-FIX | F2: SL-PW
SL400,"Iglo Slide schemat F (4 kw.) - wiodace prawe","",4,No,No,Vertical Mullion,F1: SL-LZ | F2: SL-LWb | F3: SL-PWc | F4: SL-PZ
SL401,"Iglo Slide schemat F (4 kw.) - wiodace lewe","",4,No,No,Vertical Mullion,F1: SL-LZ | F2: SL-LWc | F3: SL-PWb | F4: SL-PZ
SL402,"Iglo Slide schemat C (4 kw.) - wiodące prawe","",4,No,No,Vertical Mullion,F1: SL-FIX | F2: SL-LWb | F3: SL-PWc | F4: SL-FIX
SL403,"Iglo Slide schemat C (4 kw.) - wiodace lewe","",4,No,No,Vertical Mullion,F1: SL-FIX | F2: SL-LWc | F3: SL-PWb | F4: SL-FIX
SLE100,"Stałe szklenie Iglo Edge Slide","",1,Yes,No,None (Single Field),F1: HSM-FIX
SLE201,"Iglo Edge Slide A (2 kw.) otw. na prawo","",2,Yes,No,Vertical Mullion,F1: HST-A-P | F2: HSM-FIX
SLE202,"Iglo Edge Slide A (2 kw.) otw. na lewo","",2,Yes,No,Vertical Mullion,F1: HSM-FIX | F2: HST-A-L
SLE303,"Iglo Edge Slide G3 (3 kw.) otw. na prawo","",3,Yes,No,Vertical Mullion,F1: HST-G2-FIX | F2: HST-G-P | F3: HSM-FIX
SLE304,"Iglo Edge Slide G3 (3 kw.) otw. na lewo","",3,Yes,No,Vertical Mullion,F1: HSM-FIX | F2: HST-G-L | F3: HST-G2-FIX
SLE305,"Iglo Edge Slide K (3 kw.)","",3,Yes,No,Vertical Mullion,F1: HST-A-P | F2: HSM-FIX | F3: HST-A-L
SLE401,"Iglo Edge Slide C (4 kw.) - wiodące prawe","",4,Yes,No,Vertical Mullion,F1: HSM-FIX | F2: HST-C-Lb | F3: HST-C-Pc | F4: HSM-FIX
SLE402,"Iglo Edge Slide C (4 kw.) - wiodące lewe","",4,Yes,No,Vertical Mullion,F1: HSM-FIX | F2: HST-C-Lc | F3: HST-C-Pb | F4: HSM-FIX
W100,"Drzwi wahadłowe 1-skrzydłowe","",1,Yes,No,None (Single Field),F1: W-L
W200,"Drzwi wahadłowe 2-skrzydłowe","",2,Yes,Yes,Vertical Mullion + Movable Post (Stulp),F1: W-SB-L | F2: W-SC-P
WJ,"Okno - wolna jednostka","",1,No,No,None (Single Field),None
WJB,"Balkon - wolna jednostka","",1,No,No,None (Single Field),None
WJDW,"Drzwi wejściowe - wolna jednostka","",1,No,No,None (Single Field),None
WJOZ,"Okno otw na zewn - wolna jednostka","",1,No,No,None (Single Field),None
WJP,"Zestaw - wolna jednostka połączona","",1,No,No,None (Single Field),None
WJPP,"Profil pośredni - wolna jednostka","",1,No,No,None (Single Field),None
WJPSK,"PSK - wolna jednostka","",1,No,No,None (Single Field),None
WJPSKPP,"PSK PP - wolna jednostka","",1,No,No,None (Single Field),None
Z1,"Żaluzja pojedyncza","",1,No,No,None (Single Field),F1: X
Z2,"Zestaw 2 żaluzji w jednej skrzynce","",2,No,No,Vertical Mullion,F1: X | F2: X
Z201,"Zestaw (element łączący)","",2,No,No,Vertical Mullion,None
Z202,"Zestaw (element łączący)","",2,No,No,Transom,None
Z205,"Zestaw (element łączący)","",2,No,No,Vertical Mullion + Transom,None
Z206,"Zestaw (element łączący)","",2,No,No,Vertical Mullion + Transom,None
Z3,"Zestaw 3 żaluzji w jednej skrzynce","",3,No,No,Vertical Mullion,F1: X | F2: X | F3: X
Z301,"Zestaw (element łączący)","",3,No,No,Vertical Mullion,None
Z303,"Zestaw (element łączący)","",3,No,No,Transom + Vertical Mullion,None
Z304,"Zestaw (element łączący)","",3,No,No,Transom + Vertical Mullion,None
Z305,"Zestaw (element łączący)","",3,No,No,Vertical Mullion + Transom,None
Z306,"Zestaw (element łączący)","",3,No,No,Vertical Mullion + Transom,None
Z307,"Zestaw (element łączący)","",3,No,No,Vertical Mullion + Transom + Transom,None
Z401,"Zestaw (element łączący)","",4,No,No,Vertical Mullion,None
Z503,"Zestaw (element łączący)","",99,No,No,Vertical Mullion + Transom + Transom,None
ZW,"Żaluzja wewnętrzna","",1,No,No,None (Single Field),F1: X
